Date,Type du train,Axe,Départ,Arrivée,Nombre de trains programmés,Nombre de trains annulés,Nombre de trains ayant circulé,Nombre de trains en retard à l'arrivée,Régularité (avec erreurs),Régularité,Commentaires,Comparaison moyenne
2016-08,TGV,Est,NANCY,PARIS EST,280,0,280,14,"95,0%","95,0%",,mieux
2016-08,TGV,Est,NANTES,STRASBOURG,55,0,55,3,"94,5%","94,5%",,mieux
2016-08,TGV,Atlantique,NANTES,PARIS MONTPARNASSE,550,0,550,32,"94,2%","94,2%",,mieux
2016-08,Intercité,Est Centre,NANTES,LYON PART DIEU,65,0,65,7,"89,2%","89,2%",,mieux
2016-08,Intercité,Atlantique Méd.,NANTES,BORDEAUX ST JEAN,92,1,91,23,"73,9%","73,9%",,moins bien
2016-08,Intercité,Est Centre,NEVERS,PARIS BERCY,158,1,157,16,"89,2%","89,2%",,mieux
2016-08,Intercité,Atlantique Méd.,NICE,BORDEAUX ST JEAN,183,4,179,69,"60,1%","60,1%",,moins bien
2016-08,TGV,Sud-Est,NICE VILLE,PARIS LYON,259,4,255,37,"84,2%","84,2%",,moins bien
2016-08,TGV,Sud-Est,NIMES,PARIS LYON,378,1,377,92,"75,4%","75,4%",Incendies et collision d'un TER avec un arbre,moins bien
2016-08,Intercité,Est Centre,NÎMES,CLERMONT FERRAND,18,1,17,12,"27,8%","27,8%",,moins bien
2016-08,Intercité,Centre Sud-Ouest,ORLÉANS,PARIS AUSTERLITZ,288,6,282,79,"70,5%","70,5%",,moins bien
2016-08,Intercité,Centre Sud-Ouest,PARIS AUSTERLITZ,BOURGES,122,2,120,16,"85,2%","85,2%",,moins bien
2016-08,Intercité,Centre Sud-Ouest,PARIS AUSTERLITZ,TOURS,122,3,119,32,"71,3%","71,3%",,moins bien
2016-08,Intercité,Centre Sud-Ouest,PARIS AUSTERLITZ,CERBERE,26,4,22,4,"69,2%","69,2%",,moins bien
2016-08,Intercité,Centre Sud-Ouest,PARIS AUSTERLITZ,ORLÉANS,286,4,282,96,"65,0%","65,0%",,moins bien
2016-08,Intercité,Est Centre,PARIS BERCY,CLERMONT FERRAND,214,1,213,16,"92,1%","92,1%",,mieux
2016-08,Intercité,Est Centre,PARIS BERCY,NEVERS,157,2,155,19,"86,6%","86,6%",,moins bien
2016-08,TGV,Est,PARIS EST,NANCY,264,1,263,7,"97,0%","97,0%",,mieux
2016-08,TGV,Est,PARIS EST,STRASBOURG,489,4,485,22,"94,7%","94,7%",,mieux
2016-08,TGV,Est,PARIS EST,REIMS,215,0,215,13,"94,0%","94,0%",,mieux
2016-08,TGV,Est,PARIS EST,METZ,302,0,302,23,"92,4%","92,4%",,mieux
2016-08,Intercité,Est Centre,PARIS EST,BELFORT,67,0,67,6,"91,0%","91,0%",,mieux
2016-08,Intercité,Est Centre,PARIS EST,TROYES,218,0,218,36,"83,5%","83,5%",,moins bien
2016-08,TGV,Sud-Est,PARIS LYON,MACON LOCHE,189,0,189,3,"98,4%","98,4%",,mieux
